!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
Adam Ant,uk,203.91138,The Very Best Of,Friend Or Foe,1982
Adam Ant,uk,202.97098,Friend Or Foe,Goody Two Shoes,1982
Adam Ant,uk,226.5073,Ants Remastered Boxset,Mohair Locker Room Pin-Up Boys,1998
Adrenalin O.D.,punk,142.65424,Humungousfungusamongus,Anarchy in the UK (Sex Pistols) (Bonus Track),1986
Aerosmith,heavy metal,425.03791,Classics Live,Lord Of The Thighs,1974
Aerosmith,heavy metal,357.53751,A Little South Of Sanity,Same Old Song And Dance,1974
Aerosmith,heavy metal,241.8673,Night In The Ruts,Reefer Head Woman,1979
Aerosmith,heavy metal,335.33342,A Little South Of Sanity,Angel,1987
Aerosmith,heavy metal,314.27873,Aerosmith - Universal Masters Collection,What It Takes,1988
Aerosmith,heavy metal,329.69098,Big Ones,Janie's Got A Gun,1989
Aerosmith,heavy metal,255.65995,Pandora's Box (Display Box),Milkcow Blues,1991
Aerosmith,heavy metal,324.07465,A Little South Of Sanity,Livin' On The Edge,1993
Aerosmith,heavy metal,308.76689,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,Cryin',1993
Aerosmith,heavy metal,319.73832,Get A Grip,Crazy,1993
Aerosmith,heavy metal,318.61506,Young Lust: The Aerosmith Anthology,Crazy,1993
Aesop Rock,hip hop,234.52689,Labor Days,Flashflood,2001
Aesop Rock,hip hop,236.64281,Labor Days,Coma,2001
Aesop Rock,hip hop,243.56526,Urban Renewal Program - Supplement 1.5,Train Buffer,2002
Aesop Rock,hip hop,273.60608,Bazooka Tooth,Limelighters (feat. Camp Lo) / Flunkadelic Interlude,2003
Aesop Rock,hip hop,310.80444,Bazooka Tooth,N.Y. Electric / Hunter Interlude,2003
AFI,hardcore punk,187.03628,DECEMBERUNDERGROUND,Summer Shudder,2006
AFI,hardcore punk,328.72444,DECEMBERUNDERGROUND,Affliction,2006
AFI,hardcore punk,176.61342,Crash Love,Too Shy To Scream,2009
AFI,hardcore punk,223.29424,Crash Love,Darling_ I Want To Destroy You,2009
Afrob feat. Sarah,hip hop,258.19383,Der Letzte seiner Art,Gief Konjunkturpaket VI,2009
Agnostic Front,punk,179.09506,Live At CBGB's,Undertow,1992
Agnostic Front,punk,94.6673,Riot_ Riot_ Upstart,Rock Star,1999
Agnostic Front,punk,92.18567,Riot_ Riot_ Upstart,Sickness,1999
Agnostic Front,punk,105.84771,Dead Yuppies,Standing On My Own,2001
Agnostic Front,punk,158.32771,Disarming Violence,Separate Ways,2002
Agnostic Front,punk,98.11546,Another Voice,No One Hears You,2004
Agnostic Front,punk,122.17424,Warriors,Come Alive,2007
Aiden,post-hardcore,258.82077,Conviction,She Will Love You (Album Version),2007
Aiden,post-hardcore,206.8371,Conviction,Teenage Queen (Album Version),2007
Aiden,post-hardcore,140.40771,Knives [Clean],Killing Machine,2009
Aiden,post-hardcore,759.09179,Knives,Black Market Hell,2009
Akon,hip hop rnb and dance hall,211.66975,Lonely,Lonely,2004
Akon,hip hop rnb and dance hall,249.39057,Don't Matter,Don't Matter,2006
Akon,hip hop rnb and dance hall,266.89261,Freedom,Over The Edge,2008
Alan Silvestri,american,77.60934,Back To The Future III,We're Out Of Gas,1990
Alan Silvestri,american,81.50159,Night At The Museum,Full House,2006
Alan Silvestri,american,504.05832,G.I. JOE,The Joes Mobilize,2009
Albert Collins,blues,356.25751,Collins Mix,Same Old Thing,1993
Albert King,soul-blues,244.27057,Live Wire/Blues Power,Watermelon Man,1968
Alexander O'Neal,soul and reggae,183.11791,Alex Loves...,When A Man Loves A Woman,2008
Alexander O'Neal,soul and reggae,268.2771,Alex Loves...,Secret Lovers (Featuring Mica Paris),2008
Alexander O'Neal,soul and reggae,267.25832,Alex Loves...,Unbreak My Heart,2008
Alexander O'Neal,soul and reggae,301.45261,Alex Loves...,Saturday Love,2008
Alexandre Desplat,easy listening soundtracks and musicals,70.26893,L'enquAate corse - bof,Palmer enquAate,2004
Alexandre Desplat,easy listening soundtracks and musicals,177.03138,Firewall,Breaking In,2005
Alexandre Desplat,easy listening soundtracks and musicals,239.38567,Firewall,The Epi-Pen,2006
Alexandre Desplat,easy listening soundtracks and musicals,81.71057,Music from the Motion Picture The Curious Case of Benjamin Button,Meeting Daisy,2008
Alexandre Desplat,easy listening soundtracks and musicals,177.42322,Coco Avant Chanel,Le Chagrin de Coco,2009
Alexandre Desplat,easy listening soundtracks and musicals,86.22975,Fantastic Mr. Fox (Original Soundtrack),High-Speed French Train,2009
Alexandre Desplat,easy listening soundtracks and musicals,128.62649,The Ghost Writer,Hidden Documents,2010
Alice Cooper,hard rock,197.90322,LIVE AT MONTREUX,Be My Lover,1971
Alice Cooper,hard rock,189.90975,Love It To Death,Caught In A Dream (Album Version),1971
Alice Cooper,hard rock,209.47546,Zipper Catches Skin,Make That Money (Scrooge's Song) (Album Version),1982
Alice Cooper,hard rock,210.54649,Live! (Digitally Remastered),Goin' To The River,1982
Alice Cooper,hard rock,210.54649,THE EYES OF,This House Is Haunted,2003
Alice In Chains,grunge,261.77261,Jar of flies / Facelift / Dirt,I Know Somethin (Bout You),1990
Alice In Chains,grunge,267.36281,Music Bank,Brother,1992
Alice In Chains,grunge,329.37751,Jar of flies / Facelift / Dirt,Sickman,1992
Alice In Chains,grunge,230.60853,Music Bank,God Smack,1992
Alice In Chains,grunge,262.47791,Live,Angry Chair,1992
Alice In Chains,grunge,223.26812,Unplugged,Would?,1992
Alice In Chains,grunge,256.522,Black Gives Way To Blue,Lesson Learned,2009
Alice In Chains,grunge,239.35955,Black Gives Way To Blue,Take Her Out,2009
Alicia Keys,rnb,183.43138,Unplugged,Heartburn,2003
Alicia Keys,rnb,231.18322,Essential-Soul Love,If I Ain't Got You,2003
Alicia Keys,rnb,255.99955,The Diary Of Alicia Keys,Karma,2003
Alicia Keys,rnb,244.45342,Unplugged,If I Was Your Woman,2005
Alicia Keys,rnb,240.22159,The Element Of Freedom,Wait Til You See My Smile,2009
All Shall Persih,american,215.61424,The Price Of Existence,The True Beast,2006
Alternative TV,uk,305.71057,Live 1978,Nasty Little Lonely,1978
Alternative TV,uk,180.63628,Strange Kicks,Dub In Bed,1981
Alternative TV,uk,237.08689,My Life As A Child Star,Lemons_ For Kevin,1994
Alvin YoungbloodA Hart,folk,159.39873,Territory,Ouachita Run (Album Version),1998
A-Mei,taiwanese,71.88853,Star Live Concert,Intro,2008
Amoral,finnish,306.38975,Wound Creations,Metamorphosis,2001
Amoral,finnish,520.88118,Wound Creations,The Last Round,2004
Amoral,finnish,238.94159,Show Your Colors,Perfection Design,2009
Amorphis,finnish,332.06812,Karelian Isthmus,The Lost Name of God,1992
Amorphis,finnish,225.41016,Tales From The Thousand Lakes,Into Hiding,1994
Amorphis,finnish,280.97261,My Kantele,And I Hear You Call,1997
Amorphis,finnish,285.46567,Am Universum,Crimson Wave,2001
Amy Winehouse,uk,256.10404,Take The Box,Stronger Than Me,2003
Amy Winehouse,uk,274.99057,Frank,In My Bed,2003
Amy Winehouse,uk,229.85098,ESSENTIAL 08,Valerie,2007
Angelo Badalamenti,soundtrack,109.37424,Blue Velvet,Jeffrey's Dark Side,1987
Angelo Badalamenti,soundtrack,86.56934,Mulholland Drive,Dinner Party Pool Music,2001
Ann Lee,uk,380.08118,So Deep,So deep,2000
Anna Abreu,finnish,205.45261,Anna Abreu,Shame,2007
Anne Dudley,production music,177.44934,The 10th Kingdom,Still Lost in the Forest,2000
Anne Dudley,production music,184.39791,The 10th Kingdom,A Stepmother's Curse,2000
Anne Dudley,production music,280.86812,Black Book,Rachel's retribution,2006
Anne Dudley,production music,94.69342,Black Book,Victims of the occupation,2006
Annie Lennox,rock,385.01832,Dance Vault Mixes - Little Bird (1st Set of Mixes),Little Bird,1992
Annie Lennox,rock,316.76036,Medusa,A Whiter Shade Of Pale,1995
Annie Lennox,rock,280.00608,Bare,Erased,2003
Anti-Flag,punk rock,175.25506,A New Kind of Army,Tearing Everyone Down,1998
Anti-Flag,punk rock,359.6273,A New Kind of Army,This Is NOT a Crass Song,1999
Anti-Flag,punk rock,184.05832,Underground Network,Spaz's House Destruction Party,2001
Anti-Flag,punk rock,115.53914,The Terror State,Death Of A Nation,2003
Anti-Flag,punk rock,99.00363,Live at the Fireside Bowl,I Don't Wanna be a War Hero,2003
Anti-Flag,punk rock,299.80689,The Bright Lights Of America,The Modern Rome Burning,2008
Anti-Flag,punk rock,171.59791,The People or The Gun,On Independence Day,2009
Anti-Flag,punk rock,188.55138,The People or The Gun,The Gre(A)t Depression,2009
Archie Bell and The Drells,classic pop and rock,193.95873,I Can't Stop Dancing,I've Been Trying,2004
Architecture In Helsinki,rock and indie,249.28608,In Case We Die,Need To Shout,2005
Architecture In Helsinki,rock and indie,210.49424,Places Like This,The Same Old Innocence,2007
Arctic Monkeys,british,141.13914,Whatever People Say I Am_ That's What I'm Not,Dancing Shoes,2004
Arctic Monkeys,british,193.43628,Whatever People Say I Am_ That's What I'm Not,From The Ritz To The Rubble,2004
Arctic Monkeys,british,177.94567,Whatever People Say I Am_ That's What I'm Not,Fake Tales Of San Francisco,2004
ARRESTED DEVELOPMENT,classic pop and rock,273.84118,Unplugged,Raining Revolution (Live) (Unplugged),1993
ARRESTED DEVELOPMENT,classic pop and rock,270.36689,Classic Masters,Natural (2002 Digital Remaster),2002
ARRESTED DEVELOPMENT,classic pop and rock,218.06975,Since the Last Time,Since The Last Time,2006
Arsonists Get All The Girls,mathcore,240.92689,Portals,Violence in Fluid Triceratops,2009
Arsonists Get All The Girls,mathcore,218.48771,Portals,Skiff For The Suits,2009
Arthur Brown,uk,422.16444,The Crazy World Of Arthur Brown,Child Of My Kingdom,1968
Arthur Brown,uk,297.03791,The Crazy World Of Arthur Brown,Time / Confusion,1968
Asleep At The Wheel,folk,399.04608,House Of Blue Lights,Hot Rod Lincoln,1988
Asleep At The Wheel,folk,238.21016,Kings Of The Texas Swing - Live,The Letter That Johnny Walker Read,2002
Asleep At The Wheel,folk,180.50567,Santa Loves to Boogie,I Hate Christmas,2007
Astarte,black metal,419.97016,Doomed Dark Years,Thorns of Charon (Pt. 2) - Emerge from Hades,1998
Astarte,black metal,568.78975,Doomed Dark Years,Voyage to eternal Life,1998
Astarte,black metal,173.81832,Rise From Within,Risen From Within,2000
Astarte,black metal,515.36934,Quod Superius Sicut Inferius,Oblivious Darkness,2002
Aswad,uk,280.94649,New Chapter,Ina Your Rights,1981
At The Gates,melodic death metal,286.04036,Gardens Of Grief,City Of Screaming Statues,1991
Atari Teenage Riot,digital hardcore,231.47057,Live In Philadelphia,Destroy 2000 Years Of Culture,1997
Atari Teenage Riot,digital hardcore,249.46893,60 Second Wipe Out,Revolution Action,1999
Atari Teenage Riot,digital hardcore,1598.1971,Live at Brixton Academy 1999,Live At Brixton Academy 1999,2000
ATB,trance,349.04771,No Silence,Collides With Beauty,2004
ATB,trance,262.21669,No Silence,Marrakech,2004
ATB,trance,479.76444,Believe In Me,Believe In Me (Clubb Mix),2005
Atomic Rooster,progressive rock,269.71383,Heavy Soul,The Rock,1971
Atomic Rooster,progressive rock,158.77179,Made In England,Close Your Eyes,1972
Atomic Rooster,progressive rock,159.60771,Made In England,Little Bit of Inner Air,1972
Atomic Rooster,progressive rock,203.31057,Made In England,Stand By Me,1972
Atomic Rooster,progressive rock,220.39465,The Greatest Hits - Vol. 1,Living Underground,2005
Atomic Rooster,progressive rock,249.93914,The Greatest Hits - Vol. 2,Take It For Granted,2005
Atomship,rock,296.04526,The Crash Of '47,Whitfield,2004
Audio Adrenaline,rock,219.11465,Audio Adrenaline,My God  (Audio Adrenaline Album Version),1992
Audio Adrenaline,rock,279.97995,Some Kind Of Zombie,Some Kind Of Zombie (Criscoteque Remix),1997
Auf Der Maur,rock and indie,277.89016,Auf Der Maur,Taste You,2004
Avril,dance and electronica,651.59791,Now It's Spring,The Matter With You (Part I_ Ii_ Iii),2000
Avril - Remix By Ana Rago,dance and electronica,188.39465,The Date - Dated Girls Remixes,The Date (Remix By Ana Rago),2002
Avril Lavigne,rock,260.44036,My World,Unwanted,2001
Avril Lavigne,rock,224.93995,Under My Skin,How Does It Feel,2004
Avril Lavigne,rock,232.202,The Best Damn Thing,Innocence,2007
Ayo,soul and reggae,212.71465,Joyful,Complain,2006
Ayo,soul and reggae,240.95302,Down On My Knees,Down On My Knees,2006
Ayo,soul and reggae,534.62159,Joyful,Life Is Real,2006
Ayo,soul and reggae,264.56771,Joyful,Welcome Into My World,2006
Ayo,soul and reggae,244.06159,Joyful,Down On My Knees,2006
Ayo,soul and reggae,288.31302,Joyful,These Days,2006
Ayo,soul and reggae,288.49587,Live At The Olympia,Only You,2006
Ayo,soul and reggae,232.28036,Joyful,Watching You,2006
B.B. King,jazz and blues,170.68363,The Very Best Of The Early Years,Please Love Me,1956
B.B. King,jazz and blues,237.66159,Hurricane Relief: Come Together Now,Early In The Morning,2002
B.B.King,jazz and blues,167.49669,Take A Swing With Me,Please Love Me,1956
B.o.B,united states,269.63546,B.o.B Presents: The Adventures of Bobby Ray,Nothin' On You [feat. Bruno Mars] (Album Version),2010
BA(c)nabar,french,188.94322,Reprise Des NA(c)gociations,Tu Peux Compter Sur Moi,2005
BA(c)nabar,french,224.9922,Reprise Des NA(c)gociations,Christelle Est Une Ordure,2005
BA(c)nabar,french,243.59138,Best of (Deluxe Version),La Pierrade,2007
Babe Ruth,uk,365.16526,Babe Ruth,Dancer (2007 Digital Remaster),1975
Back Door Slam,blues,319.84281,Roll Away,Heavy On My Mind (Album Version),2007
Back Door Slam,blues,236.87791,Roll Away,It'll All Come Around (Album Version),2007
Backstreet Boys,american,236.25098,Just Want You To Know,Larger Than Life,1999
Backstreet Boys,american,236.2771,Black & Blue,The Call,2000
Backstreet Boys,american,173.5571,Black & Blue,Shape Of My Heart,2000
Backstreet Boys,american,228.38812,This Is Us,PDA,2009
Bad Brains,punk,85.26322,Live at CBGB 1982,Destroy Babylon,1983
Bad Brains,punk,119.71873,Rock For Light,Riot Squad (1991 Digital Remaster),1983
Bad Brains,punk,136.38485,Rock For Light,At The Movies (1991 Digital Remaster),1983
Bad Brains,punk,163.18649,God Of Love,God Of Love (Album Version),1995
Bad Brains,punk,118.04689,Black Dots,At The Atlantis,1996
Bad Company,uk,229.58975,In Concert: Merchants Of Cool,Rock Steady,1974
Bad Company,uk,249.83465,Hard Rock Live,Rock Steady,1974
Bad Company,uk,365.24363,Straight Shooter,Call On Me,1975
Bad Company,uk,296.12363,Hard Rock Live,Simple Man,1976
Bad Company,uk,253.02159,Desolation Angels,Take The Time,1979
Bad Company,uk,211.1473,Desolation Angels,Crazy Circles,1979
Bad Company,uk,208.87465,Fame And Fortune,Valerie (LP Version),1986
Bad Religion,usa,180.81914,How Could Hell Be Any Worse?,Doing Time (Album Version),1982
Bad Religion,usa,138.52689,Generator,Fertile Crescent (bonus track),1992
Bad Religion,usa,247.58812,Stranger Than Fiction,Infected,1994
Bad Religion,usa,141.19138,All Ages,Flat Earth Society (Album Version),1995
Bad Religion,usa,138.84036,Process Of Belief,The Lie,2002
Bad Religion,usa,239.882,Process Of Belief,Epiphany,2002
Bad Religion,usa,169.87383,Process Of Belief,You Don't Belong,2002
Bally Sagoo,uk,282.25261,Hanji,Punjabian Di Chale Glassi,2003
Barenaked Ladies,college rock,173.19138,Born On A Pirate Ship,This Is Where It Ends (Album Version),1996
Baroness,stoner metal,354.79465,The Red Album,Grad,2007
Baroness,stoner metal,269.71383,The Red Album,Wanderlust,2007
Baroness,stoner metal,270.52363,Blue Record,The Sweetest Curse,2009
Barry Manilow,soft rock,209.13587,This One's For You,This One's For You,1976
Barry Manilow Featuring The Glenn Miller Orchestra with Debra Byrd,soft rock,172.06812,Singin' With The Big Bands,Don't Sit Under The Apple Tree,1994
Basement Jaxx,british,218.14812,Jump N' Shout,Jump N Shout Featuring Slarta John (Radio Edit),1999
Basement Jaxx,british,240.01261,Jump N' Shout,La Photo,1999
Basement Jaxx,british,161.85424,Rooty,Sfm,2001
Basement Jaxx,british,210.20689,Scars,Twerk (feat. Yo Majesty),2009
BB King,jazz and blues,186.40934,The Road from Itta Bena,She Don't Move Me No More,1995
Be Bop Deluxe,uk,197.82485,Futurama,Between The Worlds,1975
Be Bop Deluxe,uk,285.1522,Air Age Anthology,Music In Dreamland,1975
Be Bop Deluxe,uk,312.58077,Axe Victim,Piece Of Mine,1977
Be Bop Deluxe,uk,221.93587,Live! In The Air Age,Sister Seagull (Live),1991
Beastie Boys,hip hop,247.7971,Paul's Boutique,Shadrach,1989
Beastie Boys,hip hop,245.7073,Ill Communication,Get It Together,1994
Beastie Boys,hip hop,132.51873,Ill Communication,Eugene's Lament,1994
Beastie Boys,hip hop,173.60934,To The 5 Boroughs,Crawlspace,2004
BeauSoleil,zydeco,268.30322,Cajun Conja,'Ti Monde (LP Version),1991
Bebe Winans,rnb,278.22975,Live Up  & Close,Love Thing,2002
Bebe Winans / Stephanie Mills,rnb,324.93669,Love And Freedom,Everyday,2000
Bebo & Cigala,world,198.26893,Lagrimas Negras,Inolvidable,2003
Bebo Norman,contemporary christian,280.39791,Try,Borrow Mine,2004
Bebo Norman,contemporary christian,219.45424,The Way We Love,Sunday,2006
Bebo Norman,contemporary christian,213.4722,Bebo Norman,Britney,2008
Becoming The Archetype,metal,308.74077,Terminate Damnation,Ex Nihilo,2005
Becoming The Archetype,metal,389.95546,Dichotomy,End Of The Age,2008
Beenie Man,soul and reggae,230.24281,Concept Of Life,Imagination,2006
Beenie Man,soul and reggae,213.10649,Concept Of Life,Politrix,2006
Beenie Man Featuring Janet Jackson,soul and reggae,215.90159,Feel It Boy,Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),2002
Behemoth,black metal,321.48853,Satanica,Chant For Eschaton 2000,1999
Behemoth,black metal,146.46812,Thelema 6,Malice,2000
Behemoth,black metal,209.05751,Thelema 6,Hello Space Boy,2000
Behemoth,black metal,229.40689,Zos Kia Cultus,No Sympathy For Fools,2002
Behemoth,black metal,206.44526,Zos Kia Cultus,Here And Beyond,2002
Behemoth,black metal,178.33751,Demigod,Before The Aons Came,2004
Behemoth,black metal,341.2371,Evangelion,He Who Breeds Pestilence,2009
Beherit,finnish,192.13016,The Oath of Black Blood,Witchcraft,1990
Beherit,finnish,185.05098,Drawing Down the Moon,Werewolf_ Semen And Blood,1993
Beherit,finnish,202.91873,Drawing Down the Moon,Lord of Shadows and Golden Wood,1993
Beherit,finnish,625.57995,Electric Doom Synthesis,Sense,1995
Beherit,finnish,266.89261,Engram,Suck My Blood,2009
Belle & Sebastian,jangle pop,401.8673,Dear Catastrophe Waitress,Stay Loose,2003
Belle and Sebastian,jangle pop,250.69669,The BBC Sessions,Like Dylan In The Movies,1996
Belle and Sebastian,jangle pop,226.92526,The BBC Sessions,I Could Be Dreaming,1996
Belphegor,blackened death metal,178.15465,Bondage Goat Zombie,The Sukkubus Lustrate,2008
Belphegor,blackened death metal,308.76689,Bondage Goat Zombie,Armageddon's Raid,2008
Ben Watt feat. Estelle,uk,389.19791,Outspoken Part 1,Pop A Cap In Yo' Ass,2005
Benabar,french,235.02322,Live Au Grand Rex,Porcelaine,2001
Benabar,french,238.44526,Les Risques du MA(c)tier,Le Zoo De Vincennes,2003
Benga,soul and reggae,277.55057,GetDarker Presents THIS IS DUBSTEP 2,The Future,2006
Benga,soul and reggae,233.16853,Diary Of An Afro Warrior,Zero M2,2008
Berlin,classic pop and rock,255.32036,Voyeur,Blink Of An Eye (Alternative),2002
Berlin,classic pop and rock,231.18322,Metro: Greatest Hits,Now It's My Turn (Aqualite Mix),2004
BerrogA1/4etto,country-es,242.62485,Cantigas De Nadal,Nadal De Luintra,2000
Bert Kaempfert,german,184.31955,Orange Colored Sky,Don't Go,1996
Bert Kaempfert,german,201.42975,Two In One - A Singin' Safari/Safari Swings Again,Sugar Bush,1997
Bert Kaempfert,german,169.89995,Two In One - A Singin' Safari/Safari Swings Again,Happy Safari,1997
Beth Nielsen Chapman,country,220.05506,Sand And Water,Fair Enough (LP Version),1997
Between The Buried And Me,metal,291.39546,Between The Buried And Me,Use Of A Weapon (Album Version),2002
Between The Buried And Me,metal,325.11955,The Anatomy Of,Geek USA (Album Version),2006
Between The Buried And Me,metal,295.28771,The Anatomy Of,Kickstart My Heart (Album Version),2006
Between The Buried And Me,metal,133.82485,Colors,Foam Born (A) The Backtrack (Album Version),2007
Between The Buried And Me,metal,516.62322,Colors,Prequel To The Sequel (Album Version),2007
BeyoncA(c),hip hop rnb and dance hall,260.20526,Dangerously In Love,Be With You,2003
BeyoncA(c),hip hop rnb and dance hall,254.98077,Crazy In Love,Krazy In Luv,2003
BeyoncA(c),hip hop rnb and dance hall,212.16608,Ring The Alarm (Urban Mixes),Ring The Alarm,2006
BeyoncA(c),hip hop rnb and dance hall,161.38404,The Beyonce Experience Live Audio,Ring The Alarm,2006
BeyoncA(c),hip hop rnb and dance hall,230.55628,Irreemplazable,Irreplaceable (Irreemplazable),2007
BeyoncA(c),hip hop rnb and dance hall,466.05016,Single Ladies (Put A Ring On It) - Dance Remixes,Single Ladies (Put A Ring On It),2008
BeyoncA(c) feat. Slim Thug,hip hop rnb and dance hall,211.17342,Check On It,Check On It,2005
Big Audio Dynamite,classic pop and rock,424.22812,No. 10_ Upping St.,Badrock City,1986
Big Star,classic pop and rock,133.45914,Keep An Eye On The Sky,Till The End Of The Day (Alternate Mix),2009
Billy Bragg,british,153.88689,Billy Bragg Vol.1,This Guitar Says Sorry,1984
Billy Bragg,british,173.50485,Billy Bragg Vol.1,Loving You Too Long,2006
Billy Bragg,british,180.1922,I Keep Faith,Goodbye (Solo Version),2008
Bitty McLean,british,216.21506,Natural High,Over The River,1995
Black Debbath,norwegian,265.7171,Welcome To Norway,The Four Big Ones (Essential Authors And Works),2001
Black Debbath,norwegian,278.46485,Martin Schanche,Where To Piss And Shit In Oslo,2009
Black Eyed Peas,pop and chart,196.362,Bridging The Gap,Tell Your Momma Come,2000
Black Eyed Peas,pop and chart,229.61587,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Let's Get It Started,2004
Black Eyed Peas,pop and chart,223.03302,Kids Sing Along Pac,Let's Get It Started,2004
Black Eyed Peas / Les Nubians / Mos Def,pop and chart,235.10159,Bridging The Gap,On My Own,2000
Black Eyed Peas / Terry Dexter,pop and chart,275.04281,Legally Blonde,Magic,2000
Black Flag,hardcore punk,136.14975,Live at The On Broadway 1982,Jealous Again,1980
Black Flag,hardcore punk,79.51628,Live at The On Broadway 1982,Room 13,1981
Black Flag,hardcore punk,92.36853,Everything Went Black,Police Story,1981
Black Flag,hardcore punk,1030.19057,Everything Went Black,Crass Commercialism,1982
Black Flag,hardcore punk,133.25016,I Can See You,Out Of This World,1985
Black History,soul and reggae,251.402,Reggae Salute,Problem Inna the System,2001
Blind Blake,ragtime,199.1571,All the Published Sides,Dry Bone Shuffle,2006
Blind Lemon Jefferson,blues,175.15057,The Complete Classic Sides Remastered: Chicago 1926 Disc A,Got The Blues,1926
Blind Lemon Jefferson,blues,178.38975,The Complete Classic Sides Remastered: Chicago 1926 Disc A,Long Lonesome Blues,1926
Blind Lemon Jefferson,blues,185.41669,King Of The Country Blues,Wartime Blues,1927
Blind Lemon Jefferson,blues,165.35465,Southern Blues Volume 2,Gone Dead On You Blues,1972
Blind Lemon Jefferson,blues,201.79546,Penitentiary Blues,Long Distance Moan,2007
Blind Willie McTell,prewar blues,191.73832,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935,Writing Paper Blues,1927
Blind Willie McTell,prewar blues,116.34893,The Devil Can't Hide From Me,Boll Weevil,2001
Blink-182,american,225.12281,Dude Ranch,A New Hope,1997
Blink-182,american,280.00608,blink-182,All Of This,2003
Bloc Party,indie rock,247.97995,Intimacy - Remixed,Zephyrus,2008
Bloc Party,indie rock,166.26893,Sellout Sessions 03,One More Chance,2009
Blue Rodeo,canadian,491.12771,Outskirts,Floating,1987
Blue Rodeo,canadian,280.65914,Lost Together,Fools Like You,1992
Blue Rodeo,canadian,213.34159,Are You Ready,Up On That Cloud,2005
Blue Rodeo,canadian,251.402,Small Miracles,Mystic River,2007
Blue Rodeo,canadian,543.97342,The Things We Left Behind,Million Miles,2009
Blue Rodeo,canadian,199.05261,The Things We Left Behind,Never Look Back,2009
Boards of Canada,electronic,472.52853,Music Has The Right To Children,Happy Cycling,1996
Bob Dylan,folk,257.61914,Desire/Blood On The Tracks/Street Legal,Simple Twist Of Fate,1975
Bob Dylan,folk,278.96118,Desire/Blood On The Tracks/Street Legal,New Pony,1978
Bob Dylan,folk,320.70485,Time Out Of Mind,Trying To Get To Heaven,1997
Bob Marley,reggae,173.24363,Keep on Moving,Lively Up Yourself,1991
Bob Marley,reggae,135.49669,Soul Almighty - Natural Mystic II,Corner Stone,1996
Bob Marley,reggae,177.71057,Top Ranking Reggae - Bob Marley - Soul Almighty,Memphis,1999
Bob Marley,reggae,224.96608,Lively Up Yourself,Small Axe,1999
Bob Marley & The Wailers,reggae,307.61751,Kaya,Smile Jamaica,1992
Bob Marley & The Wailers,reggae,258.29832,Mystic Mixes - An Exclusive Remix Collection,Rainbow Country (Red Gold And Green Version),2001
